"setnumber" "seqname" "leftposition" "rightposition"
"1" 1 "CM002142.1" 108400 108400
"2" 2 "CM002143.1" 128749 128749
"3" 3 "CM002145.1" 91272 91274
"4" 4 "CM002146.1" 459453 459453
"5" 5 "CM002147.1" 224680 224680
"6" 6 "CM002147.1" 495656 495656
"7" 7 "CM002149.1" 158254 158847
"8" 8 "CM002149.1" 171002 171563
"9" 9 "CM002149.1" 304566 304708
"10" 10 "CM002150.1" 38004 38275
"11" 11 "CM002151.1" 207756 208451
"12" 12 "CM002151.1" 372099 372373
"13" 13 "CM002151.1" 423290 423436
"14" 14 "CM002155.1" 305415 305527
"15" 15 "CM002155.1" 357634 357634
"16" 16 "CM002156.1" 252376 252376
"17" 17 "CM002157.1" 342282 342574
"18" 18 "CM002158.1" 371589 371589
"19" 19 "CM002161.1" 319132 319474
"20" 20 "CM002161.1" 603337 603337
"21" 21 "CM002163.1" 345598 345598
"22" 22 "CM002163.1" 552617 554419
"23" 23 "CM002164.1" 161324 161324
"24" 24 "CM002164.1" 217805 218257
"25" 25 "CM002164.1" 660274 660274
"26" 26 "CM002169.1" 413146 413286
"27" 27 "CM002169.1" 672477 672477
"28" 28 "CM002170.1" 612199 612199
"29" 29 "CM002171.1" 1035283 1035406
"30" 30 "CM002171.1" 1322045 1322045
"31" 31 "CM002173.1" 963677 1349346
"32" 32 "CM002174.1" 362604 1268651
"33" 33 "CM002176.1" 1082842 1082842
"34" 34 "CM002176.1" 1670712 1671619
"35" 35 "CM002176.1" 2216049 2217551
