"setnumber" "seqname" "leftposition" "rightposition"
"1" 1 "Ld02_v01s1" 108617 108617
"2" 2 "Ld03_v01s1" 128749 128749
"3" 3 "Ld05_v01s1" 91272 91274
"4" 4 "Ld06_v01s1" 459453 459453
"5" 5 "Ld07_v01s1" 224680 224680
"6" 6 "Ld07_v01s1" 495656 495656
"7" 7 "Ld09_v01s1" 158254 158847
"8" 8 "Ld09_v01s1" 171002 171563
"9" 9 "Ld09_v01s1" 304566 304708
"10" 10 "Ld10_v01s1" 38004 38275
"11" 11 "Ld11_v01s1" 207756 208451
"12" 12 "Ld11_v01s1" 372099 372373
"13" 13 "Ld11_v01s1" 422956 423436
"14" 14 "Ld15_v01s1" 305415 305527
"15" 15 "Ld15_v01s1" 357634 357634
"16" 16 "Ld16_v01s1" 252378 252378
"17" 17 "Ld17_v01s1" 342283 342575
"18" 18 "Ld18_v01s1" 371588 371588
"19" 19 "Ld21_v01s1" 319132 319474
"20" 20 "Ld21_v01s1" 603337 603337
"21" 21 "Ld23_v01s1" 345598 345598
"22" 22 "Ld23_v01s1" 552617 554419
"23" 23 "Ld24_v01s1" 161324 161324
"24" 24 "Ld24_v01s1" 217805 218257
"25" 25 "Ld24_v01s1" 660274 660274
"26" 26 "Ld29_v01s1" 413146 413286
"27" 27 "Ld29_v01s1" 672477 672477
"28" 28 "Ld30_v01s1" 612199 612199
"29" 29 "Ld31_v01s1" 1035283 1035406
"30" 30 "Ld31_v01s1" 1322045 1322045
"31" 31 "Ld33_v01s1" 963677 1349346
"32" 32 "Ld34_v01s1" 362606 1268653
"33" 33 "Ld36_v01s1" 1082845 1082845
"34" 34 "Ld36_v01s1" 1670715 1671622
"35" 35 "Ld36_v01s1" 2216052 2217554
